"..Data.clean_EMG_data_for_gestures.master.01.01_gesture_5_2_1_clean.txt.Comp.1" "..Data.clean_EMG_data_for_gestures.master.01.01_gesture_5_2_1_clean.txt.Comp.2" "..Data.clean_EMG_data_for_gestures.master.01.01_gesture_5_2_1_clean.txt.Comp.3" "..Data.clean_EMG_data_for_gestures.master.01.01_gesture_5_2_1_clean.txt.Comp.4" "..Data.clean_EMG_data_for_gestures.master.01.01_gesture_5_2_1_clean.txt.Comp.5" "..Data.clean_EMG_data_for_gestures.master.01.01_gesture_5_2_1_clean.txt.Comp.6" "..Data.clean_EMG_data_for_gestures.master.01.01_gesture_5_2_1_clean.txt.Comp.7" "..Data.clean_EMG_data_for_gestures.master.01.01_gesture_5_2_1_clean.txt.Comp.8"
"18598" 0.21297671393511 -0.820271585924206 1.20585034550997 -0.735239096534593 -0.744029481383182 -0.0663496892717535 0.503993759902977 -0.374809849968643
"18608" 0.214295761346447 -0.821665290687567 1.20607913300501 -0.733176574328127 -0.743461350861209 -0.0659775674641982 0.503650658024868 -0.376222525563667
"186112" 0.215614808757783 -0.823058995450926 1.20630792050004 -0.731114052121659 -0.742893220339235 -0.0656054456566433 0.503307556146757 -0.377635201158692
"186210" 0.216933856169119 -0.824452700214287 1.20653670799507 -0.729051529915192 -0.742325089817262 -0.0652333238490883 0.502964454268649 -0.379047876753718
"18638" 0.218252903580457 -0.825846404977649 1.20676549549011 -0.726989007708726 -0.741756959295287 -0.0648612020415322 0.502621352390536 -0.380460552348739
"18648" 0.219571950991792 -0.827240109741008 1.20699428298514 -0.724926485502259 -0.741188828773314 -0.0644890802339775 0.502278250512429 -0.381873227943766
"18658" 0.220890998403126 -0.828633814504366 1.20722307048018 -0.72286396329579 -0.740620698251341 -0.0641169584264231 0.501935148634319 -0.383285903538793
"18668" 0.222210045814465 -0.83002751926773 1.20745185797521 -0.720801441089325 -0.740052567729367 -0.0637448366188668 0.501592046756209 -0.384698579133814
"18678" 0.223529093225799 -0.831421224031088 1.20768064547025 -0.718738918882857 -0.739484437207394 -0.0633727148113126 0.501248944878099 -0.386111254728841
"18688" 0.22746542782981 -0.833166706948728 1.21227102984136 -0.721643505979519 -0.741578753299649 -0.0628988935842582 0.502273659454603 -0.386084325845981
"18698" 0.231401762433826 -0.834912189866371 1.21686141421248 -0.724548093076182 -0.743673069391904 -0.0624250723572029 0.503298374031103 -0.386057396963116
"18708" 0.235338097037836 -0.83665767278401 1.22145179858359 -0.727452680172842 -0.745767385484159 -0.0619512511301498 0.504323088607605 -0.386030468080255
"187112" 0.239274431641848 -0.838403155701649 1.2260421829547 -0.730357267269504 -0.747861701576416 -0.0614774299030963 0.505347803184109 -0.386003539197395
"187210" 0.243210766245859 -0.840148638619289 1.23063256732581 -0.733261854366166 -0.749956017668672 -0.0610036086760419 0.506372517760613 -0.385976610314536
"18738" 0.247147100849873 -0.841894121536932 1.23522295169693 -0.736166441462828 -0.752050333760925 -0.0605297874489866 0.507397232337112 -0.38594968143167
"18748" 0.251083435453884 -0.843639604454571 1.23981333606804 -0.73907102855949 -0.754144649853181 -0.0600559662219333 0.508421946913615 -0.38592275254881
"18758" 0.255019770057896 -0.84538508737221 1.24440372043915 -0.741975615656151 -0.756238965945438 -0.0595821449948798 0.509446661490119 -0.38589582366595
"18768" 0.258956104661907 -0.84713057028985 1.24899410481026 -0.744880202752814 -0.758333282037694 -0.0591083237678256 0.510471376066623 -0.38586889478309
"18778" 0.262892439265921 -0.848876053207493 1.25358448918138 -0.747784789849476 -0.760427598129947 -0.0586345025407704 0.511496090643122 -0.385841965900224
"18788" 0.266828773869932 -0.850621536125132 1.25817487355249 -0.750689376946137 -0.762521914222204 -0.058160681313717 0.512520805219625 -0.385815037017364
"18798" 0.266089921617773 -0.850156898699793 1.25710884006603 -0.749645548795206 -0.761738804284645 -0.0583256255935034 0.51160182177707 -0.384768880730424
"18808" 0.266832613577961 -0.849869016770786 1.25504877112049 -0.748661765908058 -0.761039598116311 -0.0593455650199693 0.510874339285661 -0.383478343577863
"188112" 0.267575305538148 -0.849581134841778 1.25298870217496 -0.74767798302091 -0.760340391947976 -0.0603655044464353 0.510146856794252 -0.382187806425301
"188210" 0.262465392953876 -0.849984651243272 1.24986317687841 -0.74406572174465 -0.75531746289563 -0.0585236462495551 0.505919564492602 -0.377567655533882
"18838" 0.258807013006181 -0.850597217636374 1.24100738316378 -0.740750630411149 -0.748974816161635 -0.0576042998221281 0.501656304774403 -0.372259647667548
"18848" 0.255148633058482 -0.851209784029473 1.23215158944915 -0.737435539077645 -0.742632169427642 -0.0566849533947028 0.497393045056209 -0.36695163980122
"18858" 0.251490253110786 -0.851822350422573 1.22329579573452 -0.734120447744144 -0.736289522693647 -0.0557656069672759 0.49312978533801 -0.361643631934887
"18868" 0.247831873163087 -0.852434916815672 1.21444000201989 -0.730805356410641 -0.729946875959654 -0.0548462605398507 0.488866525619815 -0.356335624068559
"18878" 0.244173493215392 -0.853047483208773 1.20558420830526 -0.727490265077139 -0.723604229225659 -0.0539269141124237 0.484603265901617 -0.351027616202226
"18888" 0.240515113267692 -0.853660049601872 1.19672841459063 -0.724175173743637 -0.717261582491665 -0.053007567684998 0.480340006183422 -0.345719608335898
"18898" 0.236856733319996 -0.854272615994972 1.187872620876 -0.720860082410134 -0.71091893575767 -0.0520882212575718 0.476076746465222 -0.340411600469564
"18908" 0.233198353372301 -0.854885182388074 1.17901682716137 -0.717544991076632 -0.704576289023675 -0.0511688748301446 0.471813486747024 -0.33510359260323
"189112" 0.229539973424602 -0.855497748781173 1.17016103344674 -0.71422989974313 -0.698233642289682 -0.0502495284027194 0.467550227028829 -0.329795584736902
"189210" 0.225881593476906 -0.856110315174274 1.16130523973211 -0.710914808409629 -0.691890995555687 -0.0493301819752918 0.463286967310631 -0.324487576870569
"18938" 0.222223213529207 -0.856722881567372 1.15244944601748 -0.707599717076125 -0.685548348821694 -0.0484108355478675 0.459023707592436 -0.319179569004241
