"time" "channel1" "channel2" "channel3" "channel4" "channel5" "channel6" "channel7" "channel8"
"1874" 53287 6.08916439027656e-09 7.64336600972543e-09 7.1181902264321e-08 4.91444334562532e-07 6.23779453514739e-07 2.68438994885539e-07 2.42129009784398e-08 5.16073465518783e-09
"1875" 53288 6.26869664574155e-09 7.68084788147939e-09 7.13156543182148e-08 4.91612297722977e-07 6.19780887331257e-07 2.6744477364533e-07 2.41921553512833e-08 5.19391094771414e-09
"1876" 53289 6.44822890120655e-09 7.71832975323334e-09 7.14494063721086e-08 4.91780260883422e-07 6.15782321147776e-07 2.6645055240512e-07 2.41714097241267e-08 5.22708724024045e-09
"1877" 53290 6.41117417756414e-09 7.72485810851006e-09 7.14215392651495e-08 4.93437154041812e-07 6.13820452579469e-07 2.65721864935275e-07 2.41520256871444e-08 5.21145879466363e-09
"1878" 53291 6.47672818091697e-09 7.7939534272028e-09 7.15716295257668e-08 4.9375095108956e-07 6.10099891812621e-07 2.65928885068197e-07 2.43695982434678e-08 5.27617916045025e-09
"1879" 53292 6.54228218426980e-09 7.86304874589554e-09 7.17217197863841e-08 4.94064748137309e-07 6.06379331045772e-07 2.66135905201119e-07 2.45871707997912e-08 5.34089952623686e-09
"1880" 53293 6.60783618762262e-09 7.93214406458828e-09 7.18718100470014e-08 4.94378545185057e-07 6.02658770278923e-07 2.66342925334041e-07 2.48047433561146e-08 5.40561989202347e-09
"1881" 53294 6.67339019097545e-09 8.00123938328101e-09 7.20219003076187e-08 4.94692342232805e-07 5.98938209512074e-07 2.66549945466963e-07 2.5022315912438e-08 5.47034025781009e-09
"1882" 53295 6.73894419432828e-09 8.07033470197375e-09 7.2171990568236e-08 4.95006139280553e-07 5.95217648745225e-07 2.66756965599885e-07 2.52398884687615e-08 5.5350606235967e-09
"1883" 53296 6.8044981976811e-09 8.13943002066649e-09 7.23220808288533e-08 4.95319936328301e-07 5.91497087978377e-07 2.66963985732807e-07 2.54574610250849e-08 5.59978098938332e-09
"1884" 53297 6.87005220103393e-09 8.20852533935923e-09 7.24721710894706e-08 4.95633733376049e-07 5.87776527211528e-07 2.67171005865729e-07 2.56750335814083e-08 5.66450135516993e-09
"1885" 53298 6.93560620438675e-09 8.27762065805196e-09 7.26222613500879e-08 4.95947530423798e-07 5.84055966444679e-07 2.67378025998651e-07 2.58926061377317e-08 5.72922172095654e-09
"1886" 53299 7.00116020773958e-09 8.3467159767447e-09 7.27723516107052e-08 4.96261327471546e-07 5.8033540567783e-07 2.67585046131572e-07 2.61101786940551e-08 5.79394208674316e-09
"1887" 53300 7.06671421109241e-09 8.41581129543744e-09 7.29224418713225e-08 4.96575124519294e-07 5.76614844910981e-07 2.67792066264494e-07 2.63277512503785e-08 5.85866245252977e-09
"1888" 53301 7.13226821444523e-09 8.48490661413018e-09 7.30725321319398e-08 4.96888921567042e-07 5.72894284144133e-07 2.67999086397416e-07 2.6545323806702e-08 5.92338281831639e-09
"1889" 53302 7.19782221779806e-09 8.55400193282291e-09 7.32226223925571e-08 4.9720271861479e-07 5.69173723377284e-07 2.68206106530338e-07 2.67628963630254e-08 5.988103184103e-09
"1890" 53303 7.26337622115089e-09 8.62309725151565e-09 7.33727126531744e-08 4.97516515662538e-07 5.65453162610435e-07 2.6841312666326e-07 2.69804689193488e-08 6.05282354988961e-09
"1891" 53304 7.32893022450371e-09 8.69219257020839e-09 7.35228029137917e-08 4.97830312710287e-07 5.61732601843586e-07 2.68620146796182e-07 2.71980414756722e-08 6.11754391567623e-09
"1892" 53305 7.39448422785654e-09 8.76128788890113e-09 7.3672893174409e-08 4.98144109758035e-07 5.58012041076737e-07 2.68827166929104e-07 2.74156140319956e-08 6.18226428146284e-09
"1893" 53306 7.46003823120937e-09 8.83038320759386e-09 7.38229834350263e-08 4.98457906805783e-07 5.54291480309889e-07 2.69034187062026e-07 2.76331865883191e-08 6.24698464724946e-09
"1894" 53307 7.52559223456219e-09 8.8994785262866e-09 7.39730736956436e-08 4.98771703853531e-07 5.5057091954304e-07 2.69241207194947e-07 2.78507591446425e-08 6.31170501303607e-09
"1895" 53308 7.62649364611693e-09 8.96584871479427e-09 7.40076479249475e-08 4.95264956320135e-07 5.50543060122145e-07 2.70083157913855e-07 2.79542578656629e-08 6.3799897180263e-09
"1896" 53309 7.72739505767167e-09 9.03221890330194e-09 7.40422221542514e-08 4.91758208786738e-07 5.5051520070125e-07 2.70925108632763e-07 2.80577565866833e-08 6.44827442301652e-09
"1897" 53310 7.82829646922641e-09 9.09858909180961e-09 7.40767963835553e-08 4.88251461253341e-07 5.50487341280355e-07 2.71767059351671e-07 2.81612553077037e-08 6.51655912800675e-09
"1898" 53311 7.92919788078115e-09 9.16495928031728e-09 7.41113706128591e-08 4.84744713719945e-07 5.50459481859459e-07 2.72609010070579e-07 2.82647540287242e-08 6.58484383299697e-09
"1899" 53312 8.03009929233589e-09 9.23132946882495e-09 7.4145944842163e-08 4.81237966186548e-07 5.50431622438564e-07 2.73450960789487e-07 2.83682527497446e-08 6.6531285379872e-09
"1900" 53313 8.03465842242038e-09 9.23876620083003e-09 7.39782662995149e-08 4.79408115240921e-07 5.50459475965323e-07 2.74107169534607e-07 2.82286048566066e-08 6.64711999269066e-09
"1901" 53314 8.04577169505818e-09 9.23876620083003e-09 7.36541569054387e-08 4.77332566254621e-07 5.50537810488984e-07 2.73729105042729e-07 2.82940088495495e-08 6.69110429856511e-09
