time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
51101,6.80483626827328e-10,9.319455469781943e-10,4.580358604400204e-9,1.7640141598297596e-8,4.435598552235421e-8,1.3666439137951754e-9,3.0920001591744524e-10,4.716412608023152e-10,0
51102,6.80483626827328e-10,9.36891583790991e-10,4.591543394971135e-9,1.762694199113182e-8,4.4378999785428975e-8,1.3791278829751352e-9,3.0920001591744524e-10,4.716412608023152e-10,0
51103,6.80483626827328e-10,9.418376206037877e-10,4.602728185542065e-9,1.7613742383966046e-8,4.4402014048503734e-8,1.391611852155095e-9,3.0920001591744524e-10,4.716412608023152e-10,0
51104,6.80483626827328e-10,9.467836574165843e-10,4.613912976112996e-9,1.760054277680027e-8,4.44250283115785e-8,1.404095821335055e-9,3.0920001591744524e-10,4.716412608023152e-10,0
51105,6.80483626827328e-10,9.51729694229381e-10,4.625097766683927e-9,1.7587343169634495e-8,4.444804257465326e-8,1.4165797905150148e-9,3.0920001591744524e-10,4.716412608023152e-10,0
51106,6.80483626827328e-10,9.566757310421775e-10,4.636282557254858e-9,1.757414356246872e-8,4.447105683772802e-8,1.4290637596949747e-9,3.0920001591744524e-10,4.716412608023152e-10,0
51107,6.785782393802973e-10,9.568417084792704e-10,4.6393196614375715e-9,1.7594353638140913e-8,4.446431573327776e-8,1.4249376905406782e-9,3.070474698342133e-10,4.68066301705083e-10,0
51108,6.766728519332666e-10,9.570076859163632e-10,4.642356765620285e-9,1.7614563713813106e-8,4.4457574628827496e-8,1.4208116213863815e-9,3.048949237509813e-10,4.6449134260785075e-10,0
51109,6.747674644862359e-10,9.57173663353456e-10,4.6453938698029986e-9,1.76347737894853e-8,4.4450833524377235e-8,1.416685552232085e-9,3.027423776677493e-10,4.609163835106185e-10,0
51110,6.728620770392051e-10,9.573396407905489e-10,4.648430973985712e-9,1.7654983865157496e-8,4.4444092419926973e-8,1.4125594830777884e-9,3.005898315845173e-10,4.573414244133863e-10,0
51111,6.709566895921744e-10,9.575056182276417e-10,4.651468078168426e-9,1.767519394082969e-8,4.443735131547671e-8,1.408433413923492e-9,2.984372855012853e-10,4.53766465316154e-10,0
51112,6.690513021451437e-10,9.576715956647346e-10,4.654505182351138e-9,1.7695404016501883e-8,4.443061021102645e-8,1.4043073447691953e-9,2.962847394180533e-10,4.501915062189218e-10,0
51113,6.671459146981129e-10,9.578375731018276e-10,4.657542286533852e-9,1.7715614092174076e-8,4.442386910657619e-8,1.4001812756148988e-9,2.941321933348213e-10,4.4661654712168955e-10,0
51114,6.652405272510822e-10,9.580035505389205e-10,4.6605793907165655e-9,1.7735824167846273e-8,4.441712800212593e-8,1.3960552064606021e-9,2.9197964725158933e-10,4.430415880244573e-10,0
51115,6.633351398040514e-10,9.581695279760133e-10,4.663616494899279e-9,1.7756034243518466e-8,4.4410386897675667e-08,1.3919291373063054e-9,2.8982710116835733e-10,4.394666289272251e-10,0
