time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
62509,4.738115672357845e-9,6.877882678304524e-10,3.915722326711441e-8,2.031508748480582e-9,2.235509623164548e-8,4.150075481977798e-7,2.2306717988605913e-8,3.640878009462636e-8,6
62510,4.742510313164056e-9,6.818224556367215e-10,3.894278400757634e-8,2.0231837024976123e-9,2.2397848963305383e-8,4.1507336769873024e-7,2.2302653178261035e-8,3.6441263896025223e-8,6
62511,4.7469049539702665e-9,6.758566434429906e-10,3.872834474803828e-8,2.0148586565146423e-9,2.2440601694965285e-8,4.151391871996806e-7,2.229858836791616e-8,3.647374769742408e-8,6
62512,4.751299594776477e-9,6.698908312492598e-10,3.8513905488500215e-8,2.0065336105316727e-9,2.2483354426625188e-8,4.1520500670063104e-7,2.2294523557571282e-8,3.6506231498822944e-8,6
62513,4.755694235582688e-9,6.639250190555289e-10,3.829946622896215e-8,1.998208564548703e-9,2.2526107158285094e-8,4.1527082620158147e-7,2.2290458747226403e-8,3.65387153002218e-8,6
62514,4.760088876388898e-9,6.579592068617981e-10,3.808502696942409e-8,1.9898835185657335e-9,2.2568859889944996e-8,4.153366457025319e-7,2.2286393936881525e-8,3.657119910162066e-8,6
62515,4.764483517195109e-9,6.519933946680673e-10,3.7870587709886024e-8,1.981558472582764e-9,2.26116126216049e-8,4.154024652034823e-7,2.2282329126536647e-8,3.660368290301952e-8,6
62516,4.768878158001319e-9,6.460275824743363e-10,3.765614845034796e-8,1.9732334265997943e-9,2.26543653532648e-8,4.1546828470443275e-7,2.2278264316191772e-8,3.663616670441838e-8,6
62517,4.77327279880753e-9,6.400617702806055e-10,3.74417091908099e-8,1.9649083806168247e-9,2.2697118084924704e-8,4.155341042053832e-7,2.2274199505846894e-8,3.666865050581724e-8,6
62518,4.7776674396137404e-9,6.340959580868747e-10,3.722726993127184e-8,1.956583334633855e-9,2.2739870816584606e-8,4.155999237063336e-7,2.2270134695502015e-8,3.67011343072161e-8,6
