"time" "channel1" "channel2" "channel3" "channel4" "channel5" "channel6" "channel7" "channel8"
"1" 21000 2.44228844526324e-08 7.18735340800503e-10 1.5914402616352e-08 8.82241860565002e-08 2.31785115954648e-07 7.46077303937664e-08 1.00237541755873e-08 1.61788316787085e-08
"2" 21001 2.44346061088312e-08 7.18480332690114e-10 1.58974599227824e-08 8.82245992415471e-08 2.31884553338573e-07 7.4557514124346e-08 1.00842277194237e-08 1.61532540123315e-08
"3" 21002 2.44208894401636e-08 7.16219049007328e-10 1.59451612730485e-08 8.81980516295345e-08 2.32331860086254e-07 7.45266333649905e-08 1.014029400171e-08 1.61557263547978e-08
"4" 21003 2.4407172771496e-08 7.13957765324542e-10 1.59928626233147e-08 8.81715040175218e-08 2.32779166833936e-07 7.44957526056351e-08 1.01963602839963e-08 1.61581986972642e-08
"5" 21004 2.43934561028285e-08 7.11696481641756e-10 1.60405639735808e-08 8.81449564055092e-08 2.33226473581617e-07 7.44648718462796e-08 1.02524265662826e-08 1.61606710397305e-08
"6" 21005 2.43797394341609e-08 7.0943519795897e-10 1.6088265323847e-08 8.81184087934966e-08 2.33673780329298e-07 7.44339910869242e-08 1.03084928485689e-08 1.61631433821969e-08
"7" 21006 2.43660227654933e-08 7.07173914276184e-10 1.61359666741131e-08 8.8091861181484e-08 2.3412108707698e-07 7.44031103275687e-08 1.03645591308552e-08 1.61656157246632e-08
"8" 21007 2.43523060968258e-08 7.04912630593398e-10 1.61836680243792e-08 8.80653135694714e-08 2.34568393824661e-07 7.43722295682132e-08 1.04206254131415e-08 1.61680880671296e-08
"9" 21008 2.44271228961843e-08 7.06618845641128e-10 1.61836680243792e-08 8.80831403295853e-08 2.34695583159879e-07 7.43781759851177e-08 1.04255314278088e-08 1.6255294881722e-08
"10" 21009 2.43919579275881e-08 7.04601306965161e-10 1.61798155328841e-08 8.84434956025403e-08 2.36276218737311e-07 7.43727283213305e-08 1.04108949003116e-08 1.62542866639277e-08
"11" 21010 2.43567929589919e-08 7.02583768289194e-10 1.6175963041389e-08 8.88038508754954e-08 2.37856854314743e-07 7.43672806575432e-08 1.03962583728143e-08 1.62532784461335e-08
"12" 21011 2.43216279903957e-08 7.00566229613226e-10 1.61721105498938e-08 8.91642061484504e-08 2.39437489892175e-07 7.4361832993756e-08 1.03816218453171e-08 1.62522702283392e-08
"13" 21012 2.42864630217994e-08 6.98548690937259e-10 1.61682580583987e-08 8.95245614214055e-08 2.41018125469607e-07 7.43563853299688e-08 1.03669853178198e-08 1.62512620105449e-08
"14" 21013 2.42512980532032e-08 6.96531152261291e-10 1.61644055669036e-08 8.98849166943606e-08 2.42598761047039e-07 7.43509376661815e-08 1.03523487903226e-08 1.62502537927507e-08
"15" 21014 2.4216133084607e-08 6.94513613585324e-10 1.61605530754084e-08 9.02452719673156e-08 2.44179396624471e-07 7.43454900023943e-08 1.03377122628253e-08 1.62492455749564e-08
"16" 21015 2.41809681160108e-08 6.92496074909356e-10 1.61567005839133e-08 9.06056272402707e-08 2.45760032201903e-07 7.4340042338607e-08 1.03230757353281e-08 1.62482373571622e-08
"17" 21016 2.41458031474146e-08 6.90478536233389e-10 1.61528480924182e-08 9.09659825132257e-08 2.47340667779336e-07 7.43345946748198e-08 1.03084392078308e-08 1.62472291393679e-08
"18" 21017 2.41106381788183e-08 6.88460997557421e-10 1.6148995600923e-08 9.13263377861808e-08 2.48921303356768e-07 7.43291470110326e-08 1.02938026803336e-08 1.62462209215737e-08
"19" 21018 2.40754732102221e-08 6.86443458881454e-10 1.61451431094279e-08 9.16866930591358e-08 2.505019389342e-07 7.43236993472453e-08 1.02791661528363e-08 1.62452127037794e-08
"20" 21019 2.40403082416259e-08 6.84425920205487e-10 1.61412906179328e-08 9.20470483320909e-08 2.52082574511632e-07 7.43182516834581e-08 1.02645296253391e-08 1.62442044859852e-08
"21" 21020 2.40051432730297e-08 6.82408381529519e-10 1.61374381264376e-08 9.24074036050459e-08 2.53663210089064e-07 7.43128040196709e-08 1.02498930978418e-08 1.62431962681909e-08
"22" 21021 2.39699783044335e-08 6.80390842853552e-10 1.61335856349425e-08 9.2767758878001e-08 2.55243845666496e-07 7.43073563558836e-08 1.02352565703445e-08 1.62421880503967e-08
"23" 21022 2.39348133358372e-08 6.78373304177584e-10 1.61297331434474e-08 9.3128114150956e-08 2.56824481243928e-07 7.43019086920964e-08 1.02206200428473e-08 1.62411798326024e-08
"24" 21023 2.39526490284715e-08 6.78617049184403e-10 1.61416435685984e-08 9.343839366544e-08 2.56744056696251e-07 7.42604669360475e-08 1.02222986433859e-08 1.62328851332487e-08
"25" 21024 2.39704847211057e-08 6.78860794191222e-10 1.61535539937495e-08 9.37486731799239e-08 2.56663632148574e-07 7.42190251799986e-08 1.02239772439246e-08 1.6224590433895e-08
"26" 21025 2.39458069791921e-08 6.76877044825963e-10 1.61455888562897e-08 9.4019878815125e-08 2.5799926437009e-07 7.401295296136e-08 1.0231050958159e-08 1.62227688135051e-08
"27" 21026 2.39211292372785e-08 6.74893295460705e-10 1.61376237188298e-08 9.42910844503261e-08 2.59334896591607e-07 7.38068807427215e-08 1.02381246723934e-08 1.62209471931153e-08
"28" 21027 2.38964514953648e-08 6.72909546095447e-10 1.612965858137e-08 9.45622900855272e-08 2.60670528813123e-07 7.36008085240829e-08 1.02451983866278e-08 1.62191255727254e-08
"29" 21028 2.38717737534512e-08 6.70925796730189e-10 1.61216934439102e-08 9.48334957207283e-08 2.6200616103464e-07 7.33947363054443e-08 1.02522721008622e-08 1.62173039523355e-08
"30" 21029 2.39021957777121e-08 6.69684545488956e-10 1.61078327435367e-08 9.47173425018797e-08 2.62090635825048e-07 7.31799215671176e-08 1.02540129097281e-08 1.62522702283392e-08
"31" 21030 2.3932617801973e-08 6.68443294247724e-10 1.60939720431632e-08 9.46011892830311e-08 2.62175110615456e-07 7.29651068287909e-08 1.02557537185939e-08 1.62872365043429e-08
"32" 21031 2.400144190037e-08 6.66215799875647e-10 1.61040962296622e-08 9.45695527345917e-08 2.63281439268754e-07 7.27325653878477e-08 1.02574945274597e-08 1.6285414883953e-08
"33" 21032 2.40702659987671e-08 6.6398830550357e-10 1.61142204161611e-08 9.45379161861524e-08 2.64387767922053e-07 7.25000239469044e-08 1.02592353363256e-08 1.62835932635632e-08
"34" 21033 2.41390900971642e-08 6.61760811131493e-10 1.612434460266e-08 9.45062796377131e-08 2.65494096575351e-07 7.22674825059612e-08 1.02609761451914e-08 1.62817716431733e-08
"35" 21034 2.42079141955612e-08 6.59533316759417e-10 1.61344687891589e-08 9.44746430892737e-08 2.66600425228649e-07 7.20349410650179e-08 1.02627169540572e-08 1.62799500227834e-08
"36" 21035 2.42767382939583e-08 6.5730582238734e-10 1.61445929756578e-08 9.44430065408344e-08 2.67706753881947e-07 7.18023996240747e-08 1.02644577629231e-08 1.62781284023935e-08
"37" 21036 2.43455623923553e-08 6.55078328015263e-10 1.61547171621567e-08 9.44113699923951e-08 2.68813082535245e-07 7.15698581831314e-08 1.02661985717889e-08 1.62763067820037e-08
"38" 21037 2.4317485975764e-08 6.55078328015263e-10 1.60950904743241e-08 9.44203047644696e-08 2.67990627029377e-07 7.05939362477189e-08 1.02446803253331e-08 1.61349092697147e-08
"39" 21038 2.42894095591726e-08 6.55078328015263e-10 1.60354637864914e-08 9.44292395365442e-08 2.67168171523509e-07 6.96180143123063e-08 1.02231620788772e-08 1.59935117574258e-08
"40" 21039 2.42613331425813e-08 6.55078328015263e-10 1.59758370986587e-08 9.44381743086187e-08 2.66345716017641e-07 6.86420923768937e-08 1.02016438324213e-08 1.58521142451368e-08
"41" 21040 2.42332567259899e-08 6.55078328015263e-10 1.5916210410826e-08 9.44471090806933e-08 2.65523260511772e-07 6.76661704414811e-08 1.01801255859655e-08 1.57107167328479e-08
"42" 21041 2.42051803093986e-08 6.55078328015263e-10 1.58565837229934e-08 9.44560438527678e-08 2.64700805005904e-07 6.66902485060686e-08 1.01586073395096e-08 1.55693192205589e-08
"43" 21042 2.41771038928073e-08 6.55078328015263e-10 1.57969570351607e-08 9.44649786248424e-08 2.63878349500036e-07 6.5714326570656e-08 1.01370890930537e-08 1.542792170827e-08
"44" 21043 2.40495329349437e-08 6.56087097353247e-10 1.57073305982182e-08 9.44649786248424e-08 2.61790602972947e-07 6.47772334507908e-08 1.01272245094807e-08 1.52906983245575e-08
"45" 21044 2.3965355414166e-08 6.54834583008444e-10 1.57073305982182e-08 9.4526253163614e-08 2.61186477931763e-07 6.45520221380069e-08 1.01352238675335e-08 1.52517634467358e-08
"46" 21045 2.38811778933882e-08 6.53582068663642e-10 1.57073305982182e-08 9.45875277023855e-08 2.60582352890578e-07 6.43268108252229e-08 1.01432232255864e-08 1.52128285689141e-08
"47" 21046 2.37970003726105e-08 6.5232955431884e-10 1.57073305982182e-08 9.46488022411571e-08 2.59978227849394e-07 6.41015995124389e-08 1.01512225836392e-08 1.51738936910925e-08
"48" 21047 2.37128228518327e-08 6.51077039974037e-10 1.57073305982182e-08 9.47100767799286e-08 2.5937410280821e-07 6.38763881996549e-08 1.01592219416921e-08 1.51349588132708e-08
"49" 21048 2.3628645331055e-08 6.49824525629235e-10 1.57073305982182e-08 9.47713513187002e-08 2.58769977767025e-07 6.3651176886871e-08 1.0167221299745e-08 1.50960239354492e-08
"50" 21049 2.35444678102772e-08 6.48572011284433e-10 1.57073305982182e-08 9.48326258574717e-08 2.58165852725841e-07 6.3425965574087e-08 1.01752206577978e-08 1.50570890576275e-08
"51" 21050 2.34602902894995e-08 6.4731949693963e-10 1.57073305982182e-08 9.48939003962433e-08 2.57561727684657e-07 6.3200754261303e-08 1.01832200158507e-08 1.50181541798058e-08
"52" 21051 2.33761127687217e-08 6.46066982594828e-10 1.57073305982182e-08 9.49551749350148e-08 2.56957602643472e-07 6.2975542948519e-08 1.01912193739035e-08 1.49792193019842e-08
"53" 21052 2.32814633483714e-08 6.44814468250026e-10 1.57320859833896e-08 9.5630416924827e-08 2.56561628585104e-07 6.27138034832635e-08 1.018914284493e-08 1.49454453474136e-08
"54" 21053 2.3186813928021e-08 6.43561953905223e-10 1.5756841368561e-08 9.63056589146392e-08 2.56165654526735e-07 6.24520640180079e-08 1.01870663159564e-08 1.49116713928429e-08
"55" 21054 2.30921645076707e-08 6.42309439560421e-10 1.57815967537324e-08 9.69809009044514e-08 2.55769680468366e-07 6.21903245527524e-08 1.01849897869828e-08 1.48778974382723e-08
"56" 21055 2.29975150873203e-08 6.41056925215619e-10 1.58063521389038e-08 9.76561428942636e-08 2.55373706409998e-07 6.19285850874969e-08 1.01829132580093e-08 1.48441234837017e-08
"57" 21056 2.290286566697e-08 6.39804410870816e-10 1.58311075240752e-08 9.83313848840758e-08 2.54977732351629e-07 6.16668456222413e-08 1.01808367290357e-08 1.4810349529131e-08
"58" 21057 2.28082162466197e-08 6.38551896526014e-10 1.58558629092466e-08 9.9006626873888e-08 2.5458175829326e-07 6.14051061569858e-08 1.01787602000621e-08 1.47765755745604e-08
"59" 21058 2.27135668262693e-08 6.37299382181212e-10 1.5880618294418e-08 9.96818688637002e-08 2.54185784234892e-07 6.11433666917302e-08 1.01766836710886e-08 1.47428016199898e-08
"60" 21059 2.2618917405919e-08 6.36046867836409e-10 1.59053736795894e-08 1.00357110853512e-07 2.53789810176523e-07 6.08816272264747e-08 1.0174607142115e-08 1.47090276654192e-08
"61" 21060 2.24687793064184e-08 6.36069394043549e-10 1.59293734788772e-08 1.0089806108457e-07 2.53197886360885e-07 6.08702298323737e-08 1.01765925004951e-08 1.47118575036033e-08
"62" 21061 2.24242574481805e-08 6.36069394043549e-10 1.58824426269101e-08 1.01576837130238e-07 2.52186301893933e-07 6.07119772390296e-08 1.01399486275135e-08 1.46561277003157e-08
"63" 21062 2.23797355899426e-08 6.36069394043549e-10 1.5835511774943e-08 1.02255613175906e-07 2.5117471742698e-07 6.05537246456854e-08 1.01033047545319e-08 1.46003978970281e-08
"64" 21063 2.23352137317046e-08 6.36069394043549e-10 1.57885809229759e-08 1.02934389221573e-07 2.50163132960027e-07 6.03954720523413e-08 1.00666608815504e-08 1.45446680937406e-08
"65" 21064 2.22906918734667e-08 6.36069394043549e-10 1.57416500710087e-08 1.03613165267241e-07 2.49151548493075e-07 6.02372194589972e-08 1.00300170085688e-08 1.4488938290453e-08
"66" 21065 2.22461700152288e-08 6.36069394043549e-10 1.56947192190416e-08 1.04291941312909e-07 2.48139964026122e-07 6.00789668656531e-08 9.99337313558729e-09 1.44332084871654e-08
"67" 21066 2.22016481569909e-08 6.36069394043549e-10 1.56477883670745e-08 1.04970717358577e-07 2.47128379559169e-07 5.9920714272309e-08 9.95672926260574e-09 1.43774786838778e-08
"68" 21067 2.2157126298753e-08 6.36069394043549e-10 1.56008575151074e-08 1.05649493404245e-07 2.46116795092216e-07 5.97624616789649e-08 9.92008538962419e-09 1.43217488805903e-08
"69" 21068 2.21126044405151e-08 6.36069394043549e-10 1.55539266631403e-08 1.06328269449912e-07 2.45105210625264e-07 5.96042090856208e-08 9.88344151664264e-09 1.42660190773027e-08
"70" 21069 2.20680825822771e-08 6.36069394043549e-10 1.55069958111732e-08 1.0700704549558e-07 2.44093626158311e-07 5.94459564922767e-08 9.84679764366108e-09 1.42102892740151e-08
"71" 21070 2.20235607240392e-08 6.36069394043549e-10 1.54600649592061e-08 1.07685821541248e-07 2.43082041691358e-07 5.92877038989326e-08 9.81015377067953e-09 1.41545594707275e-08
"72" 21071 2.19790388658013e-08 6.36069394043549e-10 1.54131341072389e-08 1.08364597586916e-07 2.42070457224406e-07 5.91294513055884e-08 9.77350989769798e-09 1.409882966744e-08
"73" 21072 2.20908655724196e-08 6.41323196429577e-10 1.53434577949847e-08 1.08356688449806e-07 2.41046175208899e-07 5.89904183608032e-08 9.75223620075633e-09 1.4054581897408e-08
"74" 21073 2.2202692279038e-08 6.46576998815605e-10 1.52737814827305e-08 1.08348779312696e-07 2.40021893193392e-07 5.88513854160179e-08 9.73096250381468e-09 1.4010334127376e-08
"75" 21074 2.21600402660174e-08 6.45823237588009e-10 1.52108607061818e-08 1.08338048793024e-07 2.39487268733506e-07 5.86918682863344e-08 9.69108156261567e-09 1.39517744859043e-08
"76" 21075 2.21173882529968e-08 6.45069476360414e-10 1.51479399296332e-08 1.08327318273351e-07 2.3895264427362e-07 5.85323511566509e-08 9.65120062141666e-09 1.38932148444326e-08
"77" 21076 2.20747362399762e-08 6.44315715132819e-10 1.50850191530845e-08 1.08316587753679e-07 2.38418019813734e-07 5.83728340269674e-08 9.61131968021765e-09 1.38346552029609e-08
"78" 21077 2.20320842269557e-08 6.43561953905223e-10 1.50220983765358e-08 1.08305857234007e-07 2.37883395353847e-07 5.82133168972839e-08 9.57143873901864e-09 1.37760955614892e-08
"79" 21078 2.19894322139351e-08 6.42808192677628e-10 1.49591775999871e-08 1.08295126714334e-07 2.37348770893961e-07 5.80537997676005e-08 9.53155779781963e-09 1.37175359200175e-08
"80" 21079 2.19467802009145e-08 6.42054431450033e-10 1.48962568234384e-08 1.08284396194662e-07 2.36814146434075e-07 5.7894282637917e-08 9.49167685662062e-09 1.36589762785459e-08
"81" 21080 2.19041281878939e-08 6.41300670222437e-10 1.48333360468897e-08 1.0827366567499e-07 2.36279521974188e-07 5.77347655082335e-08 9.45179591542161e-09 1.36004166370742e-08
"82" 21081 2.17096259675157e-08 6.39328183960749e-10 1.48220917331293e-08 1.08273252489943e-07 2.36467583490805e-07 5.77135475337965e-08 9.30021358414578e-09 1.3570133954324e-08
"83" 21082 2.15151237471375e-08 6.3735569769906e-10 1.48108474193689e-08 1.08272839304896e-07 2.36655645007422e-07 5.76923295593595e-08 9.14863125286996e-09 1.35398512715738e-08
"84" 21083 2.14959150465144e-08 6.33598154664653e-10 1.48039692626364e-08 1.07923841656836e-07 2.37405353031367e-07 5.76923295593595e-08 9.13872805294178e-09 1.31705985656401e-08
"85" 21084 2.14767063458913e-08 6.29840611630246e-10 1.47970911059038e-08 1.07574844008776e-07 2.38155061055312e-07 5.76923295593595e-08 9.12882485301361e-09 1.28013458597064e-08
"86" 21085 2.14574976452682e-08 6.26083068595839e-10 1.47902129491713e-08 1.07225846360716e-07 2.38904769079258e-07 5.76923295593595e-08 9.11892165308543e-09 1.24320931537728e-08
"87" 21086 2.14451520687008e-08 6.22314262457863e-10 1.47805841940864e-08 1.06894418768559e-07 2.39352015609146e-07 5.76938644392132e-08 9.11225552137472e-09 1.20561725536766e-08
"88" 21087 2.14328064921333e-08 6.18545456319886e-10 1.47709554390014e-08 1.06562991176402e-07 2.39799262139034e-07 5.76953993190668e-08 9.105589389664e-09 1.16802519535804e-08
"89" 21088 2.2051404683609e-08 6.15519148305935e-10 1.47613266839165e-08 1.06214406713389e-07 2.39784550137131e-07 5.7808188137741e-08 9.11731491496275e-09 1.13667846158551e-08
"90" 21089 2.26700028750847e-08 6.12492840291984e-10 1.47516979288316e-08 1.05865822250376e-07 2.39769838135228e-07 5.79209769564152e-08 9.1290404402615e-09 1.10533172781297e-08
"91" 21090 2.32886010665603e-08 6.09466532278032e-10 1.47420691737466e-08 1.05517237787363e-07 2.39755126133326e-07 5.80337657750894e-08 9.14076596556025e-09 1.07398499404043e-08
"92" 21091 2.3907199258036e-08 6.06440224264081e-10 1.47324404186617e-08 1.0516865332435e-07 2.39740414131423e-07 5.81465545937636e-08 9.152491490859e-09 1.0426382602679e-08
"93" 21092 2.45257974495116e-08 6.0341391625013e-10 1.47228116635768e-08 1.04820068861336e-07 2.39725702129521e-07 5.82593434124378e-08 9.16421701615775e-09 1.01129152649536e-08
"94" 21093 2.51443956409873e-08 6.00387608236179e-10 1.47131829084918e-08 1.04471484398323e-07 2.39710990127618e-07 5.8372132231112e-08 9.17594254145651e-09 9.79944792722826e-09
"95" 21094 2.5762993832463e-08 5.97361300222228e-10 1.47035541534069e-08 1.0412289993531e-07 2.39696278125715e-07 5.84849210497862e-08 9.18766806675526e-09 9.48598058950289e-09
