time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class
58427,6.141612850129824e-9,2.115882441760933e-9,1.7361786637940931e-9,3.2247030851027154e-9,3.812929624402081e-8,1.77593751247874e-7,1.0858467129972428e-8,7.71652609379245e-8,6
58428,6.147244628577603e-9,2.1142628409302874e-9,1.7354187823919747e-9,3.2249581428542264e-9,3.796014586046083e-8,1.7549724395787055e-7,1.0828979784134379e-8,7.9458258061175e-8,6
58429,6.152876407025382e-9,2.112643240099641e-9,1.7346589009898564e-9,3.225213200605737e-9,3.779099547690085e-8,1.734007366678671e-7,1.079949243829633e-8,8.17512551844255e-8,6
58430,6.158508185473161e-9,2.111023639268995e-9,1.7338990195877379e-9,3.225468258357248e-9,3.762184509334087e-8,1.7130422937786367e-7,1.077000509245828e-8,8.4044252307676e-8,6
58431,6.16282949149598e-9,2.088204337356499e-9,1.7218584344169227e-9,3.229509294845206e-9,3.7624078668237466e-8,1.7105588565218503e-7,1.072192396502356e-8,8.61653751656577e-8,6
58432,6.1671507975188e-9,2.0653850354440028e-9,1.7098178492461075e-9,3.2335503313331644e-9,3.762631224313407e-8,1.708075419265064e-7,1.0673842837588842e-8,8.82864980236394e-8,6
58433,6.171472103541619e-9,2.0425657335315067e-9,1.6977772640752923e-9,3.237591367821122e-9,3.762854581803066e-8,1.7055919820082777e-7,1.0625761710154122e-8,9.04076208816211e-8,6
58434,6.1757934095644385e-9,2.0197464316190106e-9,1.6857366789044771e-9,3.2416324043090804e-9,3.7630779392927255e-8,1.7031085447514914e-7,1.0577680582719404e-8,9.25287437396028e-8,6
58435,6.180114715587257e-9,1.9969271297065145e-9,1.673696093733662e-9,3.2456734407970386e-9,3.7633012967823856e-8,1.700625107494705e-7,1.0529599455284684e-8,9.464986659758449e-8,6
58436,6.184436021610077e-9,1.9741078277940185e-9,1.6616555085628468e-9,3.2497144772849964e-9,3.763524654272045e-8,1.6981416702379184e-7,1.0481518327849966e-8,9.677098945556619e-8,6
58437,6.168982000934508e-9,1.9580757079979215e-9,1.6496149233920316e-9,3.2497144772849964e-9,3.7637480117617045e-8,1.6961827035475868e-7,1.0433364226882852e-8,9.670955422732328e-8,6
58438,6.154838452683898e-9,1.963099249192728e-9,1.648855041989913e-9,3.2028004972994814e-9,3.7309343823018194e-8,1.689604907476986e-7,1.0413049234532598e-8,9.668972092067433e-8,6
58439,6.140694904433288e-9,1.9681227903875344e-9,1.6480951605877948e-9,3.1558865173139665e-9,3.6981207528419335e-8,1.683027111406385e-7,1.0392734242182344e-8,9.666988761402539e-8,6
58440,6.126551356182678e-9,1.973146331582341e-9,1.6473352791856763e-9,3.1089725373284515e-9,3.6653071233820484e-8,1.676449315335784e-7,1.037241924983209e-8,9.665005430737644e-8,6
58441,6.112407807932069e-9,1.9781698727771477e-9,1.6465753977835579e-9,3.062058557342937e-9,3.632493493922163e-8,1.669871519265183e-7,1.0352104257481837e-8,9.66302210007275e-8,6
58442,6.0982642596814585e-9,1.983193413971954e-9,1.6458155163814396e-9,3.015144577357422e-9,3.5996798644622774e-8,1.6632937231945822e-7,1.0331789265131583e-8,9.661038769407856e-8,6
58443,6.084120711430849e-9,1.9882169551667606e-9,1.6450556349793211e-09,2.968230597371907e-9,3.566866235002392e-8,1.6567159271239812e-7,1.0311474272781329e-8,9.659055438742962e-8,6
58444,6.06997716318024e-9,1.9932404963615673e-9,1.6442957535772026e-9,2.921316617386392e-9,3.5340526055425065e-8,1.6501381310533803e-7,1.0291159280431074e-8,9.657072108078068e-8,6
58445,6.0558336149296295e-9,1.9982640375563735e-9,1.6435358721750843e-9,2.874402637400877e-9,3.501238976082621e-8,1.6435603349827794e-7,1.027084428808082e-8,9.655088777413174e-8,6
58446,6.064647361986235e-9,1.9951634887849217e-9,1.6447239963365622e-9,2.826114245746589e-9,3.467911683353793e-8,1.6377032960443598e-7,1.026228044994635e-8,9.640973145670482e-8,6
58447,6.073461109042841e-9,1.9920629400134695e-9,1.6459121204980397e-9,2.777825854092301e-9,3.434584390624966e-8,1.6318462571059405e-7,1.0253716611811879e-8,9.62685751392779e-8,6
58448,6.082274856099447e-9,1.9889623912420177e-9,1.6471002446595176e-9,2.7295374624380134e-9,3.4012570978961376e-8,1.625989218167521e-7,1.0245152773677408e-8,9.612741882185098e-8,6
58449,6.091088603156053e-9,1.985861842470566e-9,1.6482883688209954e-9,2.6812490707837253e-9,3.3679298051673095e-8,1.6201321792291016e-7,1.0236588935542937e-8,9.598626250442405e-8,6
58450,6.0999023502126585e-9,1.9827612936991137e-9,1.6494764929824732e-9,2.6329606791294376e-9,3.3346025124384814e-8,1.614275140290682e-7,1.0228025097408465e-8,9.584510618699713e-8,6
58451,6.108716097269264e-9,1.979660744927662e-9,1.650664617143951e-9,2.5846722874751495e-9,3.301275219709654e-8,1.6084181013522627e-7,1.0219461259273994e-8,9.570394986957021e-8,6
58452,6.11752984432587e-9,1.9765601961562097e-9,1.6518527413054288e-9,2.5363838958208617e-9,3.267947926980826e-8,1.6025610624138432e-7,1.0210897421139524e-8,9.55627935521433e-8,6
58453,6.141317173835455e-9,1.9736036874757045e-9,1.6540618751539364e-9,2.5173604412344504e-9,3.1940441187143325e-8,1.6039560338032763e-7,1.0222575601822911e-8,9.55342248432798e-8,6
58454,6.153789664744554e-9,1.9624717673953894e-9,1.631450870405174e-9,2.5122000508292305e-9,3.19375381293505e-8,1.594166929695615e-7,1.0214668525479994e-8,9.549382124815737e-8,6
58455,6.165115492281812e-9,1.9634332636070664e-9,1.6313803600473265e-9,2.510978673811364e-9,3.193697973562635e-8,1.5891711230516387e-7,1.0226632569488184e-8,9.542146463769212e-8,6
58456,6.176441319819071e-9,1.964394759818744e-9,1.6313098496894789e-9,2.509757296793498e-9,3.1936421341902196e-8,1.5841753164076624e-7,1.0238596613496372e-8,9.534910802722689e-8,6
58457,6.187767147356329e-9,1.9653562560304213e-9,1.6312393393316312e-9,2.5085359197756315e-9,3.193586294817805e-8,1.579179509763686e-7,1.0250560657504561e-8,9.527675141676166e-8,6
58458,6.199092974893588e-9,1.9663177522420983e-9,1.6311688289737836e-9,2.5073145427577652e-9,3.19353045544539e-8,1.5741837031197095e-7,1.026252470151275e-8,9.520439480629643e-8,6
58459,6.210418802430847e-9,1.9672792484537757e-9,1.631098318615936e-9,2.506093165739899e-9,3.193474616072975e-8,1.5691878964757332e-7,1.0274488745520939e-8,9.513203819583119e-8,6
58460,6.214241355336458e-9,1.9683127647109264e-9,1.6351118470062079e-9,2.5062462003908053e-9,3.194839141671517e-8,1.5682809900918601e-7,1.0295016627663599e-8,9.531634388055995e-8,6
58461,6.218063908242071e-9,1.969346280968077e-9,1.6391253753964795e-9,2.5063992350417118e-9,3.196203667270058e-8,1.567374083707987e-7,1.0315544509806259e-8,9.55006495652887e-8,6
58462,6.211096016516868e-9,1.970307777179754e-9,1.63708335602242e-9,2.528913961448572e-9,3.2432016454804985e-8,1.563664067049776e-7,1.0319680481808705e-8,9.562104921933186e-8,6
58463,6.204128124791664e-9,1.9712692733914316e-9,1.6350413366483603e-9,2.551428687855432e-9,3.290199623690938e-8,1.559954050391565e-7,1.0323816453811151e-8,9.574144887337503e-8,6
58464,6.19716023306646e-9,1.9722307696031087e-09,1.6329993172743006e-9,2.573943414262292e-9,3.337197601901379e-8,1.556244033733354e-7,1.0327952425813595e-8,9.586184852741819e-8,6
58465,6.1901923413412574e-9,1.973192265814786e-9,1.6309572979002408e-9,2.596458140669152e-9,3.3841955801118185e-8,1.5525340170751428e-7,1.0332088397816041e-8,9.598224818146134e-8,6
58466,6.183224449616054e-9,1.9741537620264635e-9,1.6289152785261811e-9,2.618972867076012e-9,3.431193558322259e-8,1.5488240004169318e-7,1.0336224369818487e-8,9.610264783550451e-8,6
58467,6.17625655789085e-9,1.9751152582381405e-9,1.6268732591521215e-9,2.641487593482872e-9,3.478191536532699e-8,1.5451139837587208e-7,1.0340360341820933e-8,9.622304748954767e-8,6
58468,6.169288666165647e-9,1.976076754449818e-9,1.6248312397780619e-9,2.664002319889732e-9,3.525189514743139e-8,1.5414039671005095e-7,1.0344496313823378e-8,9.634344714359084e-8,6
58469,6.162320774440443e-9,1.977038250661495e-9,1.6227892204040022e-9,2.6865170462965923e-9,3.572187492953579e-8,1.5376939504422985e-7,1.0348632285825824e-8,9.646384679763399e-8,6
58470,6.15535288271524e-9,1.9779997468731724e-9,1.6207472010299426e-9,2.709031772703452e-9,3.6191854711640194e-8,1.5339839337840874e-7,1.035276825782827e-8,9.658424645167716e-8,6
58471,6.148384990990036e-9,1.97896124308485e-9,1.6187051816558827e-9,2.731546499110312e-9,3.66618344937446e-8,1.5302739171258764e-7,1.0356904229830716e-8,9.670464610572032e-8,6
58472,6.1414170992648325e-9,1.979922739296527e-9,1.6166631622818231e-9,2.7540612255171722e-9,3.7131814275848996e-8,1.5265639004676651e-7,1.0361040201833162e-8,9.682504575976349e-8,6
58473,6.1344492075396295e-9,1.9808842355082043e-9,1.6146211429077635e-9,2.7765759519240323e-9,3.76017940579534e-8,1.522853883809454e-7,1.0365176173835608e-8,9.694544541380664e-8,6
58474,6.127481315814426e-9,1.9818457317198817e-9,1.6125791235337038e-9,2.799090678330892e-9,3.80717738400578e-8,1.519143867151243e-7,1.0369312145838053e-8,9.706584506784981e-8,6
58475,6.078425049359328e-9,1.9818457317198817e-9,1.6118427455842013e-9,2.8234983941059758e-9,3.8539200215969224e-8,1.521088364518626e-7,1.028411642874239e-8,9.692056812955988e-8,6
